industries,skills
Finance/Investment,UI/UX
Finance/Investment,IT Phần Mềm
Finance/Investment,Business Analyst BA
Finance/Investment,Continuous Process Improvement
Customer Service,IT System
Customer Service,It Support
Customer Service,It Helpdesk
Customer Service,Điện Tử Viễn Thông
Customer Service,Giám Sát Hệ Thống Mạng
Customer Service,Procurement
Customer Service,Purchasing
Customer Service,Admin
Customer Service,Project Matrix
Customer Service,Report Writing
Customer Service,Quản Lý Cửa Hàng
Customer Service,Sắp Xếp Công Việc
Customer Service,Studio Management
Customer Service,Studio Photography
Customer Service,Hỗ Trợ Tư Vấn
Sales,Quản Lý Cửa Hàng
Sales,Sắp Xếp Công Việc
Sales,Studio Management
Sales,Studio Photography
Sales,Hỗ Trợ Tư Vấn
Customer Service,Moderator Skill
Customer Service,Marketing Intelligence Analysis
Customer Service,Psychology Understanding
Customer Service,Market Evaluations
Customer Service,Interpersonal Communication Skill
Marketing,Moderator Skill
Marketing,Marketing Intelligence Analysis
Marketing,Psychology Understanding
Marketing,Market Evaluations
Marketing,Interpersonal Communication Skill
Administrative/Clerical,Tiếng Trung
Administrative/Clerical,Vi Tính Văn Phòng
Administrative/Clerical,Tổng Hợp Số Liệu
Administrative/Clerical,Phiên Dịch
Administrative/Clerical,Báo Cáo Tổng Hợp
Civil/Construction,Bán Hàng
Civil/Construction,Kinh Doanh Nội Thất
Civil/Construction,Thiết Kế Nội Thất
Civil/Construction,Chăm Sóc Khách Hàng
Civil/Construction,Tư Vấn Kiến Trúc
Sales,Bán Hàng
Sales,Kinh Doanh Nội Thất
Sales,Thiết Kế Nội Thất
Sales,Chăm Sóc Khách Hàng
Sales,Tư Vấn Kiến Trúc
Administrative/Clerical,Xử Lý Tình Huống
Administrative/Clerical,Sư Phạm
Administrative/Clerical,Soạn Tài Liệu Giảng Dạy
Administrative/Clerical,Giảng Dạy
Administrative/Clerical,Ngữ Văn Anh
Civil/Construction,Thiết Kế Nội Thất
Civil/Construction,AutoCAD
Civil/Construction,Revit
Civil/Construction,3D Max
Civil/Construction,Kiến Trúc Xây Dựng
Customer Service,Chăm Sóc Khách Hàng
Customer Service,Kinh Doanh
Customer Service,Bán Hàng
Customer Service,Tiếng Anh
Customer Service,Chào Hàng Sản Phẩm Mới
Marketing,Chăm Sóc Khách Hàng
Marketing,Kinh Doanh
Marketing,Bán Hàng
Marketing,Tiếng Anh
Marketing,Chào Hàng Sản Phẩm Mới
Sales,Chăm Sóc Khách Hàng
Sales,Kinh Doanh
Sales,Bán Hàng
Sales,Tiếng Anh
Sales,Chào Hàng Sản Phẩm Mới
Marketing,Strategic Planning
Marketing,Consumer Insight
Marketing,Branding Campaign
Marketing,Advertising
Marketing,IMC Planning
Sales,Communnication Skill
Sales,Negotiation Abilities
Sales,Chemical
Sales,Luxury Brand
Sales,Sales Tracking
Sales,Sales Revenue
Sales,Communnication Skill
Sales,Sales Oriented
Auditing,Internal Control
Auditing,Risk Management
Auditing,Audit
Auditing,Accounting
Sales,Sales Direct
Sales,Thúc Đẩy Bán Hàng
Sales,Dịch Vụ Ngân Hàng
Sales,Phát Triển Kinh Doanh
Sales,Kinh Doanh Bảo Hiểm
Civil/Construction,AutoCAD
Civil/Construction,GIS
Civil/Construction,Geomatics
Civil/Construction,Surveying
Civil/Construction,Communication
Accounting,Kế Toán Tổng Hợp
Accounting,Thuế
Accounting,Kiểm Toán
Accounting,Dịch Vụ Kế Toán
Accounting,Báo Cáo Tài Chính
Auditing,Kế Toán Tổng Hợp
Auditing,Thuế
Auditing,Kiểm Toán
Auditing,Dịch Vụ Kế Toán
Auditing,Báo Cáo Tài Chính
Finance/Investment,Kế Toán Tổng Hợp
Finance/Investment,Thuế
Finance/Investment,Kiểm Toán
Finance/Investment,Dịch Vụ Kế Toán
Finance/Investment,Báo Cáo Tài Chính
Finance/Investment,English
Finance/Investment,Education
Finance/Investment,Management
Finance/Investment,Commerce
Finance/Investment,Finance
Auditing,IT Auditors
Auditing,Internal Auditing Skill
Auditing,Risk Control
Auditing,CISA
Auditing,Computer Science
Auditing,Analyzing
Auditing,Internal Audit
Auditing,Business Administration
Accounting,Kế Toán
Accounting,Kế Toán Thuế
Accounting,Quyết Toán Thuế
Accounting,Luật Quản Lý Thuế
Accounting,Thuế
Auditing,Kế Toán
Auditing,Kế Toán Thuế
Auditing,Quyết Toán Thuế
Auditing,Luật Quản Lý Thuế
Auditing,Thuế
Finance/Investment,Kế Toán
Finance/Investment,Kế Toán Thuế
Finance/Investment,Quyết Toán Thuế
Finance/Investment,Luật Quản Lý Thuế
Finance/Investment,Thuế
Accounting,Tài Chính Kế Toán
Accounting,Kế Toán Thuế
Accounting,Thuế
Accounting,Hạch Toán
Accounting,Tài Chính Doanh Nghiệp
Finance/Investment,Tài Chính Kế Toán
Finance/Investment,Kế Toán Thuế
Finance/Investment,Thuế
Finance/Investment,Hạch Toán
Finance/Investment,Tài Chính Doanh Nghiệp
Accounting,Thuế
Accounting,Hạch Toán
Accounting,Công Nợ
Accounting,Lập Chứng Từ Kế Toán
Accounting,Thống Kê
Civil/Construction,Thuế
Civil/Construction,Hạch Toán
Civil/Construction,Công Nợ
Civil/Construction,Lập Chứng Từ Kế Toán
Civil/Construction,Thống Kê
Finance/Investment,Thuế
Finance/Investment,Hạch Toán
Finance/Investment,Công Nợ
Finance/Investment,Lập Chứng Từ Kế Toán
Finance/Investment,Thống Kê
Customer Service,Kinh Doanh Phần Mềm
Customer Service,Tư Vấn Khách Hàng
Customer Service,Báo Giá Hợp Đồng
Customer Service,Bán Hàng
Customer Service,Khai Thác Khách Hàng
Sales,Kinh Doanh Phần Mềm
Sales,Tư Vấn Khách Hàng
Sales,Báo Giá Hợp Đồng
Sales,Bán Hàng
Sales,Khai Thác Khách Hàng
Sales,Telesale Marketing
Sales,Telesale Skill
Marketing,SEO
Marketing,Blockchain
Marketing,Content
Marketing,Marketing
Marketing,Copywriting
Administrative/Clerical,Admin
Administrative/Clerical,Quản Lý
Administrative/Clerical,Sales Admin
Administrative/Clerical,Kinh Doanh
Administrative/Clerical,Trợ Lý
Sales,Admin
Sales,Quản Lý
Sales,Sales Admin
Sales,Kinh Doanh
Sales,Trợ Lý
Administrative/Clerical,Tư Vấn
Administrative/Clerical,Chăm Sóc
Administrative/Clerical,Admin
Administrative/Clerical,Hỗ Trợ
Administrative/Clerical,Support
Customer Service,Tư Vấn
Customer Service,Chăm Sóc
Customer Service,Admin
Customer Service,Hỗ Trợ
Customer Service,Support
Customer Service,Tiếng Anh
Customer Service,Đào Tạo
Customer Service,Phát Triển Nhân Tài
Customer Service,Tổ Chức Sự Kiện Cho Công Ty
Customer Service,Văn Hoá Doanh Nghiệp
Administrative/Clerical,Thư Ký Ban Dự Án
Administrative/Clerical,Hành Chính Tòa Nhà
Administrative/Clerical,Trợ Lý Hành Chính
Administrative/Clerical,Vận Hành
Customer Service,Thư Ký Ban Dự Án
Customer Service,Hành Chính Tòa Nhà
Customer Service,Trợ Lý Hành Chính
Customer Service,Vận Hành
Marketing,Thương Mại Điện Tử
Marketing,Livestream
Marketing,Bán Hàng
Accounting,Tài Chính
Accounting,Kiểm Toán
Accounting,Kế Toán
Accounting,Chief Accountant Certificate
Accounting,ERP Application System
Auditing,Tài Chính
Auditing,Kiểm Toán
Auditing,Kế Toán
Auditing,Chief Accountant Certificate
Auditing,ERP Application System
Finance/Investment,Tài Chính
Finance/Investment,Kiểm Toán
Finance/Investment,Kế Toán
Finance/Investment,Chief Accountant Certificate
Finance/Investment,ERP Application System
Accounting,Kê Toán Giá Thành
Accounting,Kế Toán
Accounting,Kế Toán Tổng Hợp
Accounting,Kế Toán Chi Phí Giá Thành
Electrical/Electronics,Kê Toán Giá Thành
Electrical/Electronics,Kế Toán
Electrical/Electronics,Kế Toán Tổng Hợp
Electrical/Electronics,Kế Toán Chi Phí Giá Thành
Sales,Bán Hàng
Sales,Nghiên Cứu Thị Trường
Sales,Thiết Lập Phương Án Kinh Doanh
Sales,Tìm Kiếm Khách Hàng
Sales,Giới Thiệu Sản Phẩm
Accounting,Human Resources
Accounting,Compensation
Accounting,C&B
Accounting,Project Analyst
Administrative/Clerical,Human Resources
Administrative/Clerical,Compensation
Administrative/Clerical,C&B
Administrative/Clerical,Project Analyst
Human Resources,Human Resources
Human Resources,Compensation
Human Resources,C&B
Human Resources,Project Analyst
Accounting,Kế Toán
Accounting,Kế Toán Tổng Hợp
Accounting,Kế Toán Thuế
Accounting,Kế Toán Doanh Nghiệp
Auditing,Kế Toán
Auditing,Kế Toán Tổng Hợp
Auditing,Kế Toán Thuế
Auditing,Kế Toán Doanh Nghiệp
Finance/Investment,Kế Toán
Finance/Investment,Kế Toán Tổng Hợp
Finance/Investment,Kế Toán Thuế
Finance/Investment,Kế Toán Doanh Nghiệp
Marketing,Performance Marketing
Marketing,Digital Marketing
Marketing,Google Analytics
Marketing,Ads Campaign
Marketing,Media
Marketing,Digital Marketing
Marketing,Quảng Cáo Truyền Thông
Marketing,Social Media
Accounting,English
Accounting,Finance
Accounting,Accounting
Accounting,Treasury
Finance/Investment,English
Finance/Investment,Finance
Finance/Investment,Accounting
Finance/Investment,Treasury
Electrical/Electronics,Kỹ Thuật
Electrical/Electronics,Cơ Điện Tử
Electrical/Electronics,Điện
Electrical/Electronics,Cơ Điện
Electrical/Electronics,Cơ Khí
Sales,Key Account Development
Sales,Key Accounts
Sales,Key Account Relationship Building
Sales,Trình Dược Viên Kênh ETC
Sales,Key Account Development
Sales,Key Accounts
Sales,Key Account Relationship Building
Sales,Trình Dược Viên Kênh ETC
Sales,Key Account Development
Sales,Key Accounts
Sales,Key Account Relationship Building
Sales,Trình Dược Viên Kênh ETC
Sales,Alcohol Or Beverage
Sales,Kinh Doanh
Sales,FMCG
Sales,On Trade
Sales,Field Sales
Electrical/Electronics,Tiếng Nhật N3
Electrical/Electronics,Điện
Electrical/Electronics,Điện Tử
Electrical/Electronics,Cơ Khí
Electrical/Electronics,Tự Động Hóa
Electrical/Electronics,Tiếng Nhật
Electrical/Electronics,Điện
Electrical/Electronics,Điện Tử
Electrical/Electronics,Điện Tử Ứng Dụng
Electrical/Electronics,AutoCAD
Administrative/Clerical,Purchasing
Administrative/Clerical,Thu Mua
Administrative/Clerical,Mua Hàng
Administrative/Clerical,B2B Sales
Administrative/Clerical,E-commerce
Accounting,Kế Toán
Accounting,Kiểm Toán
Accounting,Tàii Chính Kế Toán
Accounting,Kế Toán Tổng Hợp
Accounting,Tài Chính
Auditing,Kế Toán
Auditing,Kiểm Toán
Auditing,Tàii Chính Kế Toán
Auditing,Kế Toán Tổng Hợp
Auditing,Tài Chính
Finance/Investment,Kế Toán
Finance/Investment,Kiểm Toán
Finance/Investment,Tàii Chính Kế Toán
Finance/Investment,Kế Toán Tổng Hợp
Finance/Investment,Tài Chính
Administrative/Clerical,Training
Administrative/Clerical,Learning
Administrative/Clerical,Đào Tạo
Administrative/Clerical,Developmental Education
Administrative/Clerical,Coordinating
Human Resources,Training
Human Resources,Learning
Human Resources,Đào Tạo
Human Resources,Developmental Education
Human Resources,Coordinating
Sales,Tiếng Nhật
Sales,n2
Sales,Japanese N1
Sales,Sales B2B
Sales,International Business
Sales,Foreign Trade
Sales,Market Analysis
Sales,Develop Potential Markets
Sales,Renewable Energy
Finance/Investment,International Business
Finance/Investment,Foreign Trade
Finance/Investment,Market Analysis
Finance/Investment,Develop Potential Markets
Finance/Investment,Renewable Energy
Electrical/Electronics,Điện
Electrical/Electronics,Cơ Khí
Electrical/Electronics,Điện Tử
Electrical/Electronics,Điện Lạnh
Civil/Construction,Quản Lý Dự Án
Civil/Construction,Quản Trị Dự Án
Civil/Construction,Solar Construction
Civil/Construction,Solar Cells
Civil/Construction,Solar Power
Sales,Giám Sát Bán Hàng
Sales,General Trade Sales
Sales,Bán Hàng Tiêu Dùng
Sales,GT Channel
Sales,DMS System
Accounting,Kế Toán Tổng Hợp
Accounting,Kế Toán Hạch Toán
Accounting,Theo Dõi Ngân Sách
Accounting,Quyết Toán Thuế
Accounting,Báo Cáo Tài Chính
Auditing,Kế Toán Tổng Hợp
Auditing,Kế Toán Hạch Toán
Auditing,Theo Dõi Ngân Sách
Auditing,Quyết Toán Thuế
Auditing,Báo Cáo Tài Chính
Finance/Investment,Kế Toán Tổng Hợp
Finance/Investment,Kế Toán Hạch Toán
Finance/Investment,Theo Dõi Ngân Sách
Finance/Investment,Quyết Toán Thuế
Finance/Investment,Báo Cáo Tài Chính
Marketing,Public Relation
Marketing,Public Communnication
Marketing,PR Content
Marketing,Corporate Communications
Marketing,Corporate Branding
Administrative/Clerical,Phiên Dịch
Administrative/Clerical,Thông Dịch
Administrative/Clerical,Tiếng Hàn
Administrative/Clerical,Translator
Administrative/Clerical,Interpreter
Auditing,Internal Audit
Auditing,Risk Management
Auditing,Financial Analysis
Auditing,Compliance
Auditing,Financial Module
Finance/Investment,Internal Audit
Finance/Investment,Risk Management
Finance/Investment,Financial Analysis
Finance/Investment,Compliance
Finance/Investment,Financial Module
Accounting,Account Execution
Accounting,Báo Cáo Tài Chính
Accounting,Khai Thuế
Accounting,Thu Chi Nội Bộ
Accounting,Kế Toán
Auditing,Account Execution
Auditing,Báo Cáo Tài Chính
Auditing,Khai Thuế
Auditing,Thu Chi Nội Bộ
Auditing,Kế Toán
Finance/Investment,Account Execution
Finance/Investment,Báo Cáo Tài Chính
Finance/Investment,Khai Thuế
Finance/Investment,Thu Chi Nội Bộ
Finance/Investment,Kế Toán
Administrative/Clerical,Tiếng Anh
Administrative/Clerical,Quản Lý Dự Án
Administrative/Clerical,Project Management
Administrative/Clerical,Dự Án
Administrative/Clerical,Document Control
Civil/Construction,Tiếng Anh
Civil/Construction,Shop Drawing
Civil/Construction,Thực Hiện Hồ Sơ Nghiệm Thu
Civil/Construction,Lập Kế Hoạch Thi Công Dự Án
Civil/Construction,Xây Dựng Công Nghiệp
Sales,Quản Lý Khu Vực
Sales,Quản Lý Cửa Hàng Bán Lẻ
Sales,Quản Lý Vùng
Sales,Giám Sát Bán Lẻ
Sales,Cửa Hàng Bán Lẻ
Civil/Construction,Business Administration
Civil/Construction,International Business
Civil/Construction,Project Management
Civil/Construction,Solar Panel
Civil/Construction,Energy
Customer Service,Marketing Management
Customer Service,Event Management
Customer Service,Communication Marketing
Customer Service,Advertsing Agency
Customer Service,Quảng Cáo
Marketing,Marketing Management
Marketing,Event Management
Marketing,Communication Marketing
Marketing,Advertsing Agency
Marketing,Quảng Cáo
Civil/Construction,Quản Lý Thi Công M&E
Civil/Construction,Cơ Điện
Civil/Construction,Quản Lý
Civil/Construction,Lập Kế Hoạch
Civil/Construction,Giám Sát Thi Công
Electrical/Electronics,Quản Lý Thi Công M&E
Electrical/Electronics,Cơ Điện
Electrical/Electronics,Quản Lý
Electrical/Electronics,Lập Kế Hoạch
Electrical/Electronics,Giám Sát Thi Công
Accounting,Kế Toán
Accounting,Backoffice
Accounting,Thuế
Accounting,Kế Toán Tổng Hợp
Marketing,Event Management
Marketing,Hospitality
Marketing,Marketing Development
Marketing,Event Planning
Marketing,Project Management
Marketing,Marketing Development
Marketing,Marketing Facebook
Marketing,Tiktok Ads
Marketing,SEO Campaigns
Marketing,F&B Channels
Accounting,Accounting Issues
Accounting,Báo Cáo Thuế Tháng
Accounting,Thu Hồi Công Nợ
Accounting,Quản Lý Hóa Đơn
Accounting,Nghiệp Vụ Kế Toán
Auditing,Accounting Issues
Auditing,Báo Cáo Thuế Tháng
Auditing,Thu Hồi Công Nợ
Auditing,Quản Lý Hóa Đơn
Auditing,Nghiệp Vụ Kế Toán
Finance/Investment,Accounting Issues
Finance/Investment,Báo Cáo Thuế Tháng
Finance/Investment,Thu Hồi Công Nợ
Finance/Investment,Quản Lý Hóa Đơn
Finance/Investment,Nghiệp Vụ Kế Toán
Accounting,Kế Toán
Accounting,Kế Toán Tổng Hợp
Accounting,Kế Toán Công Nợ
Accounting,Kế Toán Nghiệp Vụ
Accounting,Kế Toán Hóa Đơn
Auditing,Kế Toán
Auditing,Kế Toán Tổng Hợp
Auditing,Kế Toán Công Nợ
Auditing,Kế Toán Nghiệp Vụ
Auditing,Kế Toán Hóa Đơn
Finance/Investment,Kế Toán
Finance/Investment,Kế Toán Tổng Hợp
Finance/Investment,Kế Toán Công Nợ
Finance/Investment,Kế Toán Nghiệp Vụ
Finance/Investment,Kế Toán Hóa Đơn
Customer Service,Sale Logistics
Customer Service,Freight Forwarding
Customer Service,Build Customer Relationship
Customer Service,Fluent in English
Customer Service,Customer Service
Administrative/Clerical,Chấm Công Nhân Viên
Administrative/Clerical,Quan Hệ Lao Động
Administrative/Clerical,Khai Báo Thuế
Administrative/Clerical,Bảo Hiểm Xã Hội
Administrative/Clerical,Phần Mềm Chấm Công
Human Resources,Chấm Công Nhân Viên
Human Resources,Quan Hệ Lao Động
Human Resources,Khai Báo Thuế
Human Resources,Bảo Hiểm Xã Hội
Human Resources,Phần Mềm Chấm Công
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Quản Lý
Finance/Investment,Kinh Doanh
Finance/Investment,Chiến Lược Kinh Doanh
Finance/Investment,Ngân Hàng Bán Lẻ
Sales,Xuất Nhập Khẩu
Sales,Triển Khai Đơn Hàng
Sales,Báo Giá Khách Hàng
Sales,Theo Dõi Đơn Hàng
Sales,Xuất Nhập Hàng
Administrative/Clerical,Guest Relations
Administrative/Clerical,Front Office Service
Administrative/Clerical,Hotel Service
Administrative/Clerical,Chăm Sóc Khách Hàng
Administrative/Clerical,Customer Care
Sales,Chứng Từ Xuất Nhập Khẩu
Sales,Kinh Doanh
Sales,Tư Vấn
Sales,Xuất Nhập Khẩu
Sales,Chăm Sóc Khách Hàng
Administrative/Clerical,Tài Chính
Administrative/Clerical,Lập Báo Cáo
Administrative/Clerical,Chuẩn Bị Hồ Sơ Đấu Thầu
Administrative/Clerical,Admin
Administrative/Clerical,Adminstration
Finance/Investment,Tài Chính
Finance/Investment,Lập Báo Cáo
Finance/Investment,Chuẩn Bị Hồ Sơ Đấu Thầu
Finance/Investment,Admin
Finance/Investment,Adminstration
Civil/Construction,Project Management
Civil/Construction,Planing Organization
Civil/Construction,Property Development
Civil/Construction,Construct Building
Civil/Construction,Civil Construction
Electrical/Electronics,Điện Lạnh
Sales,Bán Hàng Kỹ Thuật
Sales,Tìm Kiếm Khách Hàng
Sales,Tư Vấn Bán Hàng
Sales,Bán Hàng
Sales,Hành Chính Nhân Sự
Accounting,Tài Chính
Accounting,Kế Toán
Accounting,Tiếng Trung
Accounting,Hạch Toán Khấu Hao
Accounting,Lập Chứng Từ Kế Toán
Auditing,Tài Chính
Auditing,Kế Toán
Auditing,Tiếng Trung
Auditing,Hạch Toán Khấu Hao
Auditing,Lập Chứng Từ Kế Toán
Finance/Investment,Tài Chính
Finance/Investment,Kế Toán
Finance/Investment,Tiếng Trung
Finance/Investment,Hạch Toán Khấu Hao
Finance/Investment,Lập Chứng Từ Kế Toán
Electrical/Electronics,3D
Electrical/Electronics,Cơ Khí Chế Tạo
Electrical/Electronics,Cơ Khí
Electrical/Electronics,Cơ Điện Tử
Electrical/Electronics,Kỹ Thuật
Administrative/Clerical,Compliance Procedures
Administrative/Clerical,Internal Control Awareness
Administrative/Clerical,Legal Compliance
Administrative/Clerical,Giám Sát Quy Chế
Administrative/Clerical,Vận Hành
Administrative/Clerical,Quản Lý
Administrative/Clerical,Quản Lý Điều Hành
Administrative/Clerical,Quản Lý Kinh Doanh
Administrative/Clerical,Quản Lý Nhân Sự
Human Resources,Vận Hành
Human Resources,Quản Lý
Human Resources,Quản Lý Điều Hành
Human Resources,Quản Lý Kinh Doanh
Human Resources,Quản Lý Nhân Sự
Finance/Investment,Banking
Finance/Investment,English
Finance/Investment,Compliance
Finance/Investment,Communication
Finance/Investment,Reporting
Customer Service,Education
Customer Service,Teaching
Customer Service,Sư Phạm
Customer Service,Giảng Dạy
Customer Service,Communication
Marketing,Digital Marketing Performance
Customer Service,Giáo Dục
Customer Service,Coaching
Customer Service,Giảng Dạy
Customer Service,Huấn Luyện
Customer Service,Soạn Giáo Án Tập Luyện
Human Resources,Giáo Dục
Human Resources,Coaching
Human Resources,Giảng Dạy
Human Resources,Huấn Luyện
Human Resources,Soạn Giáo Án Tập Luyện
Sales,MS Office
Sales,Operation Planning
Sales,Retail
Sales,Food Industry
Sales,FMCG
Civil/Construction,Etabs
Civil/Construction,SAP
Civil/Construction,Thiết Kế Kết Cấu
Civil/Construction,Bóc Tách Khối Lượng
Civil/Construction,AutoCAD
Civil/Construction,Kiến Trúc Xây Dựng
Civil/Construction,Thiết Kế Xây Dựng
Civil/Construction,AutoCAD
Civil/Construction,Thiết Kế Bản Vẽ
Civil/Construction,Xây Dựng
Administrative/Clerical,Public Security
Administrative/Clerical,Law
Administrative/Clerical,Adminstration
Administrative/Clerical,International Intellectual Property
Administrative/Clerical,Business Administration
Administrative/Clerical,Logistics
Administrative/Clerical,Foreign Trade
Administrative/Clerical,Customer Service
Administrative/Clerical,Operation
Administrative/Clerical,Shipment Follow Up
Accounting,Kế Toán
Accounting,Nhân Sự
Accounting,Tiếng Hoa Giao Tiếp Lưu Loát
Accounting,Acccouting
Accounting,Tiếng Trung
Administrative/Clerical,Kế Toán
Administrative/Clerical,Nhân Sự
Administrative/Clerical,Tiếng Hoa Giao Tiếp Lưu Loát
Administrative/Clerical,Acccouting
Administrative/Clerical,Tiếng Trung
Human Resources,Kế Toán
Human Resources,Nhân Sự
Human Resources,Tiếng Hoa Giao Tiếp Lưu Loát
Human Resources,Acccouting
Human Resources,Tiếng Trung
Marketing,Thiết Kế Đồ Họa
Marketing,Biên Tập Video
Marketing,Quay Dựng Video
Marketing,Xây Dựng Kênh Youtube
Marketing,Quản Lý Youtube
Accounting,Tin Học Văn Phòng
Accounting,Đối Chiếu Số Liệu
Accounting,Công Nợ Chứng Từ
Accounting,Hạch Toán
Accounting,Báo Cáo Tài Chính
Auditing,Tin Học Văn Phòng
Auditing,Đối Chiếu Số Liệu
Auditing,Công Nợ Chứng Từ
Auditing,Hạch Toán
Auditing,Báo Cáo Tài Chính
Finance/Investment,Tin Học Văn Phòng
Finance/Investment,Đối Chiếu Số Liệu
Finance/Investment,Công Nợ Chứng Từ
Finance/Investment,Hạch Toán
Finance/Investment,Báo Cáo Tài Chính
Sales,Horeca
Sales,Bán Hàng Đồ Uống
Sales,Thực phẩm và đồ uống
Sales,Nhà Hàng Khách Sạn
Sales,Đàm Phán
Human Resources,C&B
Human Resources,Payroll
Human Resources,Human Resources
Human Resources,Total Reward Statements
Human Resources,FMCG
Sales,Bán Hàng Kỹ Thuật
Sales,AutoCAD
Sales,Đàm Phán Thuyết Phục Hiệu Quả
Sales,Thuyết Trình Dự Án
Sales,Thuyết Trình Kỹ Thuật
Marketing,Nghiên Cứu Thị Trường
Marketing,Dược
Marketing,Trình Dược
Marketing,Giới Thiệu Sản Phẩm
Marketing,Lập Kế Hoạch
Sales,Điện Tử
Sales,Điện Công Nghiệp
Sales,Kỹ Thuật
Sales,Cơ Khí
Sales,Thiết Bị Công Nghiệp
Human Resources,Talent Acquisition
Human Resources,Interviewing Candidates
Human Resources,Recruitment Consulting
Human Resources,Talent Recruitment
Human Resources,Strategic Hiring
Electrical/Electronics,Cơ Khí Chế Tạo Máy
Electrical/Electronics,Gia Công Cơ Khí
Electrical/Electronics,AutoCAD
Electrical/Electronics,PLC
Electrical/Electronics,Mạch Điện Công Nghiệp
Administrative/Clerical,Vật Tư
Administrative/Clerical,Quản Lý Đơn Hàng
Administrative/Clerical,Mua Hàng
Administrative/Clerical,Quản Lý Đơn Giá
Administrative/Clerical,Purchasing
Electrical/Electronics,Vật Tư
Electrical/Electronics,Quản Lý Đơn Hàng
Electrical/Electronics,Mua Hàng
Electrical/Electronics,Quản Lý Đơn Giá
Electrical/Electronics,Purchasing
Administrative/Clerical,Nhân Sự
Administrative/Clerical,Hành Chính
Administrative/Clerical,Hành Chính Nhân Sự
Administrative/Clerical,Nhân Sự Tổng Hợp
Administrative/Clerical,Chính Sách Nhân Sự
Human Resources,Nhân Sự
Human Resources,Hành Chính
Human Resources,Hành Chính Nhân Sự
Human Resources,Nhân Sự Tổng Hợp
Human Resources,Chính Sách Nhân Sự
Electrical/Electronics,An Ninh Mạng
Electrical/Electronics,Viễn Thông
Electrical/Electronics,Radar Engineering
Electrical/Electronics,Mạng Vô Tuyến
Electrical/Electronics,An Ninh Quốc Phòng
Accounting,Kế Toán
Accounting,Kế Toán Thuế
Accounting,Báo Cáo Kế Toán Thuế
Accounting,Xử Lý Thuế
Accounting,Hạch Toán
Auditing,Kế Toán
Auditing,Kế Toán Thuế
Auditing,Báo Cáo Kế Toán Thuế
Auditing,Xử Lý Thuế
Auditing,Hạch Toán
Marketing,Finance Analysis
Marketing,Chinese Madarin
Marketing,Leadership
Marketing,Team Work
Marketing,Communication
Sales,Finance Analysis
Sales,Chinese Madarin
Sales,Leadership
Sales,Team Work
Sales,Communication
Marketing,Corporate Banking
Marketing,Business Development
Marketing,English
Marketing,Financial Analysis
Marketing,Communication
Sales,Corporate Banking
Sales,Business Development
Sales,English
Sales,Financial Analysis
Sales,Communication
Administrative/Clerical,Giáo Dục
Administrative/Clerical,Tiếng Anh
Administrative/Clerical,Xây Dựng Chương Trình
Administrative/Clerical,Biên Soạn Giáo Trình
Administrative/Clerical,Biên Tập
Administrative/Clerical,Immigration Program
Administrative/Clerical,Immigration Law
Administrative/Clerical,Customer Support
Administrative/Clerical,Making Documents
Administrative/Clerical,Processing Visa
Customer Service,Immigration Program
Customer Service,Immigration Law
Customer Service,Customer Support
Customer Service,Making Documents
Customer Service,Processing Visa
Marketing,Truyền Thông
Marketing,Marketing Online
Marketing,Content Website
Marketing,Content
Marketing,Giáo Dục
Sales,Quan Hệ Khách Hàng
Sales,Dịch Vụ Khách Hàng
Sales,Tài Chính Ngân Hàng
Sales,Chăm Sóc Khách Hàng
Sales,Tư Vấn
Finance/Investment,Quan Hệ Khách Hàng
Finance/Investment,Dịch Vụ Khách Hàng
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Chăm Sóc Khách Hàng
Finance/Investment,Tư Vấn
Administrative/Clerical,Tiếng Anh Nâng Cao
Administrative/Clerical,Dịch Thuật Chuyên Nghiệp
Administrative/Clerical,Phong Cách Làm Việc Chuyên Nghiệp
Administrative/Clerical,Năng Động Nhanh Nhẹn
Sales,Kinh Doanh
Sales,Bất Động Sản
Sales,Real Estate
Sales,Tư Vấn
Sales,Bán Hàng
Sales,Bán Hàng Kỹ Thuật
Sales,AutoCAD
Sales,Đàm Phán Thuyết Phục Hiệu Quả
Sales,Tìm Kiếm Khách Hàng
Sales,Tư Vấn Bán Hàng
Electrical/Electronics,Accounting
Electrical/Electronics,Finance
Civil/Construction,Xây Dựng
Civil/Construction,Kết Cấu Thép
Civil/Construction,AutoCAD
Civil/Construction,Tính Toán Kết Cấu Thép
Civil/Construction,Thiết Kế Kết Cấu Thép
Civil/Construction,Thiết Kế Kiến Trúc
Civil/Construction,Sketchup
Civil/Construction,Revit
Civil/Construction,Kiến Trúc Sư Xây Dựng
Civil/Construction,AutoCAD
Civil/Construction,MEP
Civil/Construction,HVAC
Civil/Construction,Electrical
Civil/Construction,AutoCAD
Civil/Construction,Revit
Electrical/Electronics,MEP
Electrical/Electronics,HVAC
Electrical/Electronics,Electrical
Electrical/Electronics,AutoCAD
Electrical/Electronics,Revit
Civil/Construction,Xây Dựng
Civil/Construction,Thi Công Công Trình
Civil/Construction,Giám Sát Công Trình
Civil/Construction,Quản Lý
Civil/Construction,Công Trình Dân Dụng
Electrical/Electronics,Xây Dựng
Electrical/Electronics,Thi Công Công Trình
